App name,Date,Time,Duration
Google,12/27/18,01:04:07,00:00:11
Instagram,12/27/18,01:04:18,00:00:59
Google,12/27/18,01:05:18,00:00:09
Instagram,12/27/18,01:05:27,00:00:14
Google,12/27/18,01:05:41,00:00:01
Snapchat,12/27/18,01:05:42,00:00:11
Snapchat,12/27/18,01:05:55,00:00:01
Google,12/27/18,01:05:56,00:00:02
Google,12/27/18,01:05:59,00:00:03
Google,12/27/18,01:06:03,00:00:04
Clock,12/27/18,01:06:07,00:00:14
Google,12/27/18,01:06:22,06:29:38
Clock,12/27/18,07:36:00,00:00:14
Google,12/27/18,07:36:14,00:08:47
Clock,12/27/18,07:45:00,00:00:24
Google,12/27/18,07:45:24,00:00:00
Screen off (locked),12/27/18,07:45:24,00:00:01
Screen on (unlocked),12/27/18,07:45:26,00:00:01
Google,12/27/18,07:45:26,00:00:05
Screen off (locked),12/27/18,07:45:31,00:10:47
Screen on (unlocked),12/27/18,07:56:18,00:00:01
Settings,12/27/18,07:56:19,00:00:00
Screen off (locked),12/27/18,07:56:19,00:00:06
Screen on (unlocked),12/27/18,07:56:26,00:00:01
Google,12/27/18,07:56:26,00:00:00
Screen off (locked),12/27/18,07:56:26,00:09:35
Screen on (unlocked),12/27/18,08:06:02,00:00:01
Google,12/27/18,08:06:02,00:00:06
Clock,12/27/18,08:06:08,00:00:04
Google,12/27/18,08:06:12,00:00:01
Chrome,12/27/18,08:06:13,00:00:13
Google,12/27/18,08:06:26,00:00:04
Gmail,12/27/18,08:06:30,00:00:01
Google,12/27/18,08:06:30,00:00:01
Chrome,12/27/18,08:06:31,00:00:14
Google,12/27/18,08:06:45,00:00:02
Messages,12/27/18,08:06:47,00:00:08
Chrome,12/27/18,08:06:55,00:00:56
Google,12/27/18,08:07:50,00:00:18
Twitter,12/27/18,08:08:08,00:01:37
Google,12/27/18,08:09:45,00:00:01
Screen off (locked),12/27/18,08:09:47,00:05:53
Screen on (unlocked),12/27/18,08:15:39,00:00:01
Google,12/27/18,08:15:40,00:00:03
Gmail,12/27/18,08:15:43,00:00:09
Chrome,12/27/18,08:15:51,00:02:59
Gmail,12/27/18,08:18:50,00:00:04
Google,12/27/18,08:18:54,00:00:05
YouTube,12/27/18,08:18:59,00:28:59
Google,12/27/18,08:47:57,00:00:01
YouTube,12/27/18,08:47:59,00:00:01
Google,12/27/18,08:48:04,00:00:08
Screen off (locked),12/27/18,08:48:12,00:04:46
Screen on (unlocked),12/27/18,08:52:58,00:00:01
Google,12/27/18,08:52:59,00:00:06
WPS Office,12/27/18,08:53:04,00:00:20
Google,12/27/18,08:53:25,00:00:02
WPS Office,12/27/18,08:53:28,00:00:10
Google,12/27/18,08:53:39,00:00:04
Screen off (locked),12/27/18,08:53:43,00:01:21
Screen on (unlocked),12/27/18,08:55:05,00:00:01
Google,12/27/18,08:55:05,00:00:03
Screen off (locked),12/27/18,08:55:09,00:02:59
Screen on (unlocked),12/27/18,08:58:07,00:00:01
Google,12/27/18,08:58:08,00:00:02
Snapchat,12/27/18,08:58:10,00:00:51
Messenger,12/27/18,08:59:01,00:00:01
Snapchat,12/27/18,08:59:02,00:00:12
Google,12/27/18,08:59:15,00:00:05
Screen off (locked),12/27/18,08:59:20,00:25:55
Screen on (unlocked),12/27/18,09:25:15,00:00:01
Google,12/27/18,09:25:16,00:00:08
Screen off (locked),12/27/18,09:25:24,00:00:01
Screen on (unlocked),12/27/18,09:25:24,00:00:01
Google,12/27/18,09:25:25,00:00:03
Screen off (locked),12/27/18,09:25:28,00:17:53
Screen on (unlocked),12/27/18,09:43:21,00:00:01
Google,12/27/18,09:43:22,00:00:05
Settings,12/27/18,09:43:26,00:00:44
Google,12/27/18,09:44:10,00:00:01
Instagram,12/27/18,09:44:11,00:00:34
Snapchat,12/27/18,09:44:45,00:00:52
Instagram,12/27/18,09:45:37,00:01:24
Google,12/27/18,09:47:01,00:00:02
Screen off (locked),12/27/18,09:47:03,00:13:07
Screen on (unlocked),12/27/18,10:00:10,00:00:01
Google,12/27/18,10:00:11,00:00:01
Instagram,12/27/18,10:00:11,00:00:09
Google,12/27/18,10:00:20,00:00:02
Screen off (locked),12/27/18,10:00:22,00:13:01
Screen on (unlocked),12/27/18,10:13:23,00:00:01
Google,12/27/18,10:13:23,00:00:01
Instagram,12/27/18,10:13:24,00:00:12
Google,12/27/18,10:13:36,00:00:02
Screen off (locked),12/27/18,10:13:38,00:00:04
Screen on (unlocked),12/27/18,10:13:42,00:00:01
Google,12/27/18,10:13:43,00:00:09
WhatsApp,12/27/18,10:13:52,00:00:28
Google,12/27/18,10:14:22,00:00:01
Screen off (locked),12/27/18,10:14:24,01:05:05
Screen on (unlocked),12/27/18,11:19:28,00:00:01
Google,12/27/18,11:19:29,00:00:01
Calculator,12/27/18,11:19:30,00:00:22
Google,12/27/18,11:19:52,00:00:02
Screen off (locked),12/27/18,11:19:54,00:16:41
Screen on (unlocked),12/27/18,11:36:35,00:00:01
Google,12/27/18,11:36:35,00:00:01
Chrome,12/27/18,11:36:36,00:00:14
Google,12/27/18,11:36:50,00:00:01
Chrome,12/27/18,11:36:51,00:00:26
Google,12/27/18,11:37:16,00:00:01
Instagram,12/27/18,11:37:17,00:09:26
Google,12/27/18,11:46:43,00:00:07
Follow Cop,12/27/18,11:46:51,00:00:57
Google,12/27/18,11:47:48,00:00:01
Instagram,12/27/18,11:47:49,00:01:26
Google,12/27/18,11:49:15,00:00:03
Snapchat,12/27/18,11:49:18,00:01:52
Google,12/27/18,11:51:09,00:00:01
Screen off (locked),12/27/18,11:51:11,00:24:58
Screen on (unlocked),12/27/18,12:16:08,00:00:01
Google,12/27/18,12:16:09,00:00:06
Screen off (locked),12/27/18,12:16:15,00:00:08
Screen on (unlocked),12/27/18,12:16:23,00:00:01
Google,12/27/18,12:16:23,00:00:08
Gmail,12/27/18,12:16:31,00:01:00
Chrome,12/27/18,12:17:31,00:01:08
Gmail,12/27/18,12:18:39,00:00:11
Chrome,12/27/18,12:18:50,00:00:55
Google,12/27/18,12:19:48,00:00:00
Screen off (locked),12/27/18,12:19:48,00:05:00
Screen on (unlocked),12/27/18,12:24:48,00:00:01
Google,12/27/18,12:24:48,00:00:02
Instagram,12/27/18,12:24:50,00:00:47
Google,12/27/18,12:25:38,00:00:01
Screen off (locked),12/27/18,12:25:39,00:03:29
Screen on (unlocked),12/27/18,12:29:08,00:00:01
Google,12/27/18,12:29:09,00:00:04
Instagram,12/27/18,12:29:12,00:02:17
Google,12/27/18,12:31:30,00:00:01
Screen off (locked),12/27/18,12:31:31,00:01:41
Screen on (unlocked),12/27/18,12:33:12,00:00:01
Google,12/27/18,12:33:12,00:00:01
Twitter,12/27/18,12:33:14,00:00:15
Google,12/27/18,12:33:28,00:00:01
Screen off (locked),12/27/18,12:33:30,00:17:47
Screen on (unlocked),12/27/18,12:51:16,00:00:01
Settings,12/27/18,12:51:17,00:00:00
Screen off (locked),12/27/18,12:51:17,00:00:10
Screen on (unlocked),12/27/18,12:51:27,00:00:01
Google,12/27/18,12:51:27,00:00:45
Gmail,12/27/18,12:52:13,00:00:29
Google,12/27/18,12:52:42,00:00:02
WhatsApp,12/27/18,12:52:45,00:00:30
Google,12/27/18,12:53:15,00:00:02
Screen off (locked),12/27/18,12:53:17,00:03:56
Screen on (unlocked),12/27/18,12:57:13,00:00:01
Google,12/27/18,12:57:14,00:00:02
WhatsApp,12/27/18,12:57:16,00:00:05
Google,12/27/18,12:57:21,00:00:03
Screen off (locked),12/27/18,12:57:24,00:04:02
Screen on (unlocked),12/27/18,13:01:26,00:00:01
Google,12/27/18,13:01:26,00:00:02
Instagram,12/27/18,13:01:28,00:12:52
Google,12/27/18,13:14:20,00:00:01
Snapchat,12/27/18,13:14:21,00:00:43
Instagram,12/27/18,13:15:05,00:14:34
Google,12/27/18,13:29:40,00:00:01
Instagram,12/27/18,13:29:41,00:00:03
Google,12/27/18,13:29:47,00:00:03
Screen off (locked),12/27/18,13:29:50,01:32:26
Screen on (unlocked),12/27/18,15:02:16,00:00:01
Google,12/27/18,15:02:17,00:00:06
Chrome,12/27/18,15:02:23,00:00:43
Google,12/27/18,15:03:06,00:00:05
Snapchat,12/27/18,15:03:11,00:01:01
Google,12/27/18,15:04:14,00:00:01
Screen off (locked),12/27/18,15:04:15,00:02:39
Screen on (unlocked),12/27/18,15:06:54,00:00:01
Google,12/27/18,15:06:55,00:00:07
Snapchat,12/27/18,15:07:02,00:00:11
Google,12/27/18,15:07:14,00:00:01
Screen off (locked),12/27/18,15:07:15,00:07:11
Screen on (unlocked),12/27/18,15:14:26,00:00:01
Google,12/27/18,15:14:27,00:00:23
Google,12/27/18,15:14:51,00:00:03
Screen off (locked),12/27/18,15:14:54,00:01:49
Screen on (unlocked),12/27/18,15:16:43,00:00:01
Google,12/27/18,15:16:44,00:00:10
Screen off (locked),12/27/18,15:16:54,00:33:58
Screen on (unlocked),12/27/18,15:50:52,00:00:01
Google,12/27/18,15:50:53,00:00:48
Google Pay,12/27/18,15:51:41,00:01:26
Google,12/27/18,15:53:09,00:00:04
Screen off (locked),12/27/18,15:53:13,00:13:46
Screen on (unlocked),12/27/18,16:06:59,00:00:01
Google,12/27/18,16:06:59,00:00:08
Google Pay,12/27/18,16:07:07,00:01:43
Google,12/27/18,16:08:52,00:00:04
Screen off (locked),12/27/18,16:08:55,00:07:25
Screen on (unlocked),12/27/18,16:16:20,00:00:01
Google,12/27/18,16:16:20,00:00:09
Google,12/27/18,16:16:30,00:00:04
Messages,12/27/18,16:16:34,00:01:00
Google,12/27/18,16:17:33,00:00:02
Screen off (locked),12/27/18,16:17:35,00:04:18
Screen on (unlocked),12/27/18,16:21:53,00:00:01
Google,12/27/18,16:21:54,00:00:06
Google,12/27/18,16:22:02,00:00:01
Google,12/27/18,16:22:03,00:00:01
Google,12/27/18,16:22:04,00:00:02
Screen off (locked),12/27/18,16:22:06,00:10:03
Screen on (unlocked),12/27/18,16:32:10,00:00:01
Google,12/27/18,16:32:10,00:00:06
Google,12/27/18,16:32:17,00:00:02
Screen off (locked),12/27/18,16:32:19,00:26:14
Screen on (unlocked),12/27/18,16:58:32,00:00:01
Google,12/27/18,16:58:33,00:00:03
Chrome,12/27/18,16:58:36,00:00:18
Google,12/27/18,16:58:54,00:00:06
Google,12/27/18,16:59:25,00:00:01
WhatsApp,12/27/18,16:59:25,00:00:08
Google,12/27/18,16:59:33,00:00:01
Snapchat,12/27/18,16:59:34,00:00:26
Google,12/27/18,16:59:59,00:00:01
Screen off (locked),12/27/18,17:00:01,00:00:43
Screen on (unlocked),12/27/18,17:00:44,00:00:01
Google,12/27/18,17:00:44,00:00:04
Google Pay,12/27/18,17:00:48,00:00:18
Google,12/27/18,17:01:06,00:00:01
Screen off (locked),12/27/18,17:01:08,00:00:43
Screen on (unlocked),12/27/18,17:01:51,00:00:01
Google,12/27/18,17:01:51,00:00:02
Screen off (locked),12/27/18,17:01:53,00:00:54
Screen on (unlocked),12/27/18,17:02:47,00:00:01
Google,12/27/18,17:02:48,00:00:07
Merriam-Webster Dictionary,12/27/18,17:02:55,00:01:17
Screen off (locked),12/27/18,17:04:11,00:00:45
Screen on (unlocked),12/27/18,17:04:56,00:00:01
Merriam-Webster Dictionary,12/27/18,17:04:56,00:00:01
Google,12/27/18,17:04:57,00:00:01
